"Region","Year","Happiness.Score","GDP.per.capita","Health.Expectancy","Freedom","Perceptions.of.corruption","Generosity"
"Africa",2015,4.31071739130435,0.443000869565217,0.32887847826087,0.364969782608696,0.123781304347826,0.212554347826087
"Asia",2015,5.22603571428571,0.806527142857143,0.678359285714286,0.458471428571429,0.135132142857143,0.299223214285714
"Caribbean",2015,5.03733333333333,0.657493333333333,0.581376666666667,0.441796666666667,0.11236,0.297003333333333
"Caucasus",2015,4.61966666666667,0.844666666666667,0.69987,0.324846666666667,0.19432,0.07067
"Central America",2015,6.29542857142857,0.819784285714286,0.747311428571429,0.513532857142857,0.126507142857143,0.218611428571429
"Eastern Europe",2015,5.64875,1.01968625,0.73367875,0.36988375,0.049655,0.13076125
"Middle East",2015,5.59892307692308,1.16241230769231,0.725722307692308,0.400533846153846,0.219322307692308,0.235566153846154
"North America",2015,7.273,1.3604,0.88371,0.589505,0.244235,0.42958
"Northern Europe",2015,6.7547,1.272318,0.854169,0.54224,0.267538,0.299441
"Oceania",2015,7.285,1.29188,0.919965,0.64531,0.392795,0.455315
"South America",2015,6.33358333333333,0.964914166666667,0.709153333333333,0.509845833333333,0.112929166666667,0.197503333333333
"Southern Europe",2015,5.39352941176471,1.06280823529412,0.826055294117647,0.338448823529412,0.0512617647058824,0.202875882352941
"Western Europe",2015,7.05328571428571,1.36294428571429,0.911135714285714,0.610124285714286,0.278992857142857,0.287437142857143
"Africa",2016,4.28609090909091,0.536271363636364,0.280699545454545,0.313750909090909,0.121210454545455,0.215461136363636
"Asia",2016,5.24107142857143,0.914465714285714,0.589358214285714,0.403699642857143,0.130168571428571,0.316102142857143
"Caribbean",2016,5.433,0.9054,0.555975,0.3868775,0.1085425,0.2842275
"Caucasus",2016,4.63433333333333,0.940836666666667,0.60874,0.27275,0.178033333333333,0.0673966666666667
"Central America",2016,6.222125,0.9174325,0.62616,0.44259625,0.11326,0.2125625
"Eastern Europe",2016,5.691625,1.12546125,0.64555125,0.28700375,0.0521,0.13143375
"Middle East",2016,5.472,1.24338916666667,0.636998333333333,0.34767,0.192063333333333,0.245113333333333
"North America",2016,7.254,1.474055,0.8033,0.527665,0.230985,0.429555
"Northern Europe",2016,6.7751,1.395663,0.769198,0.481976,0.263457,0.308502
"Oceania",2016,7.3235,1.402545,0.84108,0.57492,0.371175,0.48404
"South America",2016,6.24441666666667,1.07339833333333,0.62264,0.429269166666667,0.100345,0.180405833333333
"Southern Europe",2016,5.41047058823529,1.16773882352941,0.739667058823529,0.284876470588235,0.0579923529411765,0.213244117647059
"Western Europe",2016,7.03414285714286,1.48686428571429,0.828402857142857,0.534821428571429,0.286305714285714,0.289695714285714
"Africa",2017,4.23950001325,0.559930824136364,0.264425881477273,0.352024848431818,0.101139630409091,0.213327705409091
"Asia",2017,5.27749999071429,0.955496524107143,0.590353252214286,0.448264784035714,0.120805039392857,0.322238180142857
"Caribbean",2017,4.714666605,0.791187803,0.497739086333333,0.35242231,0.0896950613333333,0.303329989333333
"Caucasus",2017,4.63199996966667,1.00160372266667,0.609282394333333,0.301956380333333,0.153109521333333,0.0609220823333333
"Central America",2017,6.221750021,0.956784077125,0.6247200185,0.481224089875,0.09646042175,0.210723213875
"Eastern Europe",2017,5.683749974,1.164716742875,0.650606058625,0.314482058625,0.04742824775,0.143470098625
"Middle East",2017,5.46474993225,1.26824165366667,0.62012387075,0.38975986525,0.17633944825,0.265946925333333
"North America",2017,7.154500008,1.51273185,0.80442214,0.5584207175,0.211505152,0.4140592515
"Northern Europe",2017,6.8370000363,1.4390989303,0.7640620768,0.5239838405,0.2470044245,0.3006477708
"Oceania",2017,7.299000025,1.4450604915,0.8303232495,0.607834756,0.342000216,0.488852188
"South America",2017,6.10490911654545,1.102340178,0.631929516909091,0.452347051090909,0.0809122325454545,0.185412766727273
"Southern Europe",2017,5.48523532641176,1.20931016341176,0.745643643705882,0.342640858,0.0528307022352941,0.225300938352941
"Western Europe",2017,7.00342852728571,1.52579895085714,0.827250540142857,0.563193338285714,0.270020199428571,0.294032461
"Africa",2018,4.29677777777778,0.500422222222222,0.305711111111111,0.391711111111111,0.0942666666666667,0.163044444444444
"Asia",2018,5.26910714285714,0.878821428571429,0.640178571428571,0.487035714285714,0.108964285714286,0.233714285714286
"Caribbean",2018,4.92466666666667,0.705333333333333,0.532,0.392666666666667,0.0803333333333333,0.202666666666667
"Caucasus",2018,4.62066666666667,0.897666666666667,0.637333333333333,0.355,0.139666666666667,0.0486666666666667
"Central America",2018,6.2675,0.85525,0.6725,0.544,0.087875,0.146125
"Eastern Europe",2018,5.707875,1.05375,0.708875,0.350375,0.0405,0.109375
"Middle East",2018,5.41833333333333,1.18533333333333,0.653833333333333,0.432833333333333,0.125083333333333,0.211416666666667
"North America",2018,7.107,1.364,0.8575,0.6,0.212,0.306
"Northern Europe",2018,6.9381,1.3047,0.8318,0.573,0.2296,0.2183
"Oceania",2018,7.298,1.304,0.893,0.658,0.3455,0.363
"South America",2018,5.999,0.988272727272727,0.671545454545455,0.508272727272727,0.0681818181818182,0.121272727272727
"Southern Europe",2018,5.57388235294118,1.10152941176471,0.802235294117647,0.410235294117647,0.0485294117647059,0.151764705882353
"Western Europe",2018,7.05114285714286,1.37928571428571,0.893571428571429,0.605142857142857,0.270428571428571,0.226571428571429
"Africa",2019,4.37758695652174,0.504239130434783,0.446782608695652,0.334108695652174,0.0958260869565217,0.177217391304348
"Asia",2019,5.23267857142857,0.907964285714286,0.75925,0.429857142857143,0.107928571428571,0.234214285714286
"Caribbean",2019,4.97066666666667,0.723,0.686333333333333,0.337666666666667,0.0796666666666667,0.213
"Caucasus",2019,4.762,0.926333333333333,0.778666666666667,0.326666666666667,0.136666666666667,0.0576666666666667
"Central America",2019,6.391,0.883285714285714,0.847428571428571,0.487714285714286,0.0824285714285714,0.148714285714286
"Eastern Europe",2019,5.72775,1.084625,0.81325,0.308125,0.037875,0.113625
"Middle East",2019,5.40525,1.13341666666667,0.757583333333333,0.35775,0.11325,0.196083333333333
"North America",2019,7.085,1.399,0.9565,0.519,0.218,0.2825
"Northern Europe",2019,6.9817,1.3472,0.9544,0.4972,0.249,0.2164
"Oceania",2019,7.2675,1.3375,1.031,0.571,0.335,0.331
"South America",2019,5.94490909090909,1.00527272727273,0.823454545454545,0.439272727272727,0.0633636363636364,0.123363636363636
"Southern Europe",2019,5.72252941176471,1.13452941176471,0.925235294117647,0.358588235294118,0.0471764705882353,0.159294117647059
"Western Europe",2019,7.11485714285714,1.41228571428571,1.01385714285714,0.513,0.263,0.222142857142857
"Africa",2020,4.46489331986667,0.513246532666667,0.412378785222222,0.385879769066667,0.106598370666667,0.190070382977778
"Asia",2020,5.2624586122069,0.855033694758621,0.720278499482759,0.500852057724138,0.127592044965517,0.231849214862069
"Caribbean",2020,5.09993330633333,0.682328224333333,0.634900838,0.428432007666667,0.102676379666667,0.230791643333333
"Caucasus",2020,4.83806657766667,0.881911059333333,0.733882983666667,0.443768213,0.175337813666667,0.0649828956666667
"Central America",2020,6.38981430871429,0.832102264714286,0.814792675714286,0.577745156714286,0.101429802,0.152930820714286
"Eastern Europe",2020,5.8290374875,1.04686272875,0.783483796,0.409105386375,0.064065098625,0.10481208275
"Middle East",2020,5.5044800283,1.0781859248,0.7430691391,0.4241651132,0.1199511877,0.1829852193
"North America",2020,7.0858500005,1.3378172515,0.927059978,0.589318186,0.2519932985,0.2898359895
"Northern Europe",2020,7.0245799541,1.2932426335,0.9303299127,0.5749108968,0.3063368826,0.2248703215
"Oceania",2020,7.261199951,1.276357174,1.0153729915,0.6343335505,0.3986323475,0.325349912
"South America",2020,5.96263634072727,0.947283842545455,0.787232176818182,0.508803630363636,0.0726877899090909,0.128881987545455
"Southern Europe",2020,5.81136879325,1.08206136525,0.8898343965,0.4397577503125,0.05701319925,0.162883872875
"Western Europe",2020,7.16337142685714,1.351691263,0.995759274142857,0.576316761,0.310028978857143,0.224064081857143
